
============================================================
Trace references:
          race_id gender  reference_time  reference_log  reference_std  n_total  n_used
Казанский марафон      M          5889.0       8.680841      46.639416     9979     401
 Чемпионат России      M          8090.5       8.998446      28.114487      247      10
       Белые ночи      M         10530.0       9.261984      41.160818    10149     407
     Дорога жизни      M         10601.5       9.268751      31.812911     8393     336
 Пермский марафон      M          9755.0       9.185535     122.680975     1863      75
Казанский марафон      F          6272.0       8.743851      78.218873     2406      96
       Белые ночи      F         11510.5       9.351015     185.598523     2202      88
 Пермский марафон      F          9585.0       9.167955     149.148040      286      12
     Дорога жизни      F         11928.0       9.386644     114.266759     2387      97
 Чемпионат России      F          8932.0       9.097396      43.792304       64       3

============================================================
Age references (by race):

Казанский марафон:
gender  age  age_median_time  age_median_log  age_median_std  n_total  age_median_var
     F   23           8917.0        9.095715      956.317267       53    9.145427e+05
     F   24           9579.0        9.167328     1331.049521       55    1.771693e+06
     F   25           9666.0        9.176370     1473.740951       63    2.171912e+06
     F   26          12549.0        9.437396     1301.124231       83    1.692924e+06
     F   27          12451.0        9.429556     1280.474712       89    1.639615e+06
     F   28          14081.0        9.552582      607.470288      114    3.690202e+05
     F   29          12814.0        9.458294     1542.103636       97    2.378084e+06
     F   30          13536.0        9.513108      726.877847      127    5.283514e+05
     F   31          13709.5        9.525844      537.541653      102    2.889510e+05
     F   32          14231.0        9.563178      277.375608      127    7.693723e+04
     F   33          14279.0        9.566545      394.102644      103    1.553169e+05
     F   34          13980.0        9.545383      237.754994      109    5.652744e+04
     F   35          14869.0        9.607034      283.192869      113    8.019820e+04
     F   36          14546.0        9.585071      247.866286      117    6.143770e+04
     F   37          14327.0        9.569901      350.767074      106    1.230375e+05
     F   38          14133.0        9.556268      252.451293      100    6.373166e+04
     F   39          14442.0        9.577896      142.043903      101    2.017647e+04
     F   40          14436.0        9.577480      219.436949       91    4.815257e+04
     F   41          14368.0        9.572759      478.764466       83    2.292154e+05
     F   42          14419.0        9.576302      487.150232       59    2.373153e+05
     F   43          14433.5        9.577307      414.649182       56    1.719339e+05
     F   44          14915.5        9.610156      426.431686       52    1.818440e+05
     F   45          14072.0        9.551942      535.531757       42    2.867943e+05
     F   46          14503.0        9.582111      370.318433       39    1.371357e+05
     F   47          14773.0        9.600556      454.196052       31    2.062941e+05
     M   18          11887.0        9.383201     1765.920345       39    3.118475e+06
     M   19          14877.0        9.607572      392.760869       51    1.542611e+05
     M   20          13369.0        9.500694      498.669053       71    2.486708e+05
     M   21          14181.0        9.559658      635.218838       83    4.035030e+05
     M   22          13200.0        9.487972      599.563522      107    3.594764e+05
     M   23          12930.0        9.467305      548.796590       97    3.011777e+05
     M   24          12580.0        9.439864      338.999514      116    1.149207e+05
     M   25          13544.0        9.513699      340.179978      164    1.157224e+05
     M   26          12619.0        9.442959      520.629045      197    2.710546e+05
     M   27          13396.0        9.502711      317.605089      242    1.008730e+05
     M   28          13085.5        9.479260      208.781070      266    4.358954e+04
     M   29          12588.0        9.440499      188.690758      351    3.560420e+04
     M   30          13746.5        9.528540      243.554039      404    5.931857e+04
     M   31          13348.0        9.499122      208.089637      427    4.330130e+04
     M   32          13353.0        9.499496      202.883090      474    4.116155e+04
     M   33          13408.0        9.503607      173.696825      498    3.017059e+04
     M   34          12891.5        9.464323      191.051060      474    3.650051e+04
     M   35          13373.5        9.501030      152.745881      526    2.333130e+04
     M   36          13194.0        9.487517      197.446429      483    3.898509e+04
     M   37          13140.0        9.483416      137.067967      455    1.878763e+04
     M   38          13406.0        9.503458      152.833695      453    2.335814e+04
     M   39          13499.0        9.510371      154.722606      423    2.393908e+04
     M   40          13405.0        9.503383      111.451642      409    1.242147e+04
     M   41          13488.5        9.509593      145.453292      334    2.115666e+04
     M   42          13765.0        9.529884      163.341679      321    2.668050e+04
     M   43          13169.5        9.485659      228.674029      258    5.229181e+04
     M   44          13555.0        9.514511      245.861052      221    6.044766e+04
     M   45          13529.0        9.512591      190.512590      217    3.629505e+04
     M   46          13427.0        9.505023      125.572807      200    1.576853e+04
     M   47          13510.0        9.511185      242.307529      165    5.871294e+04
     M   48          14070.0        9.551800      269.491798      160    7.262583e+04
     M   49          13855.0        9.536401      383.175328      144    1.468233e+05
     M   50          13494.0        9.510000      280.813098      143    7.885600e+04
     M   51          13609.5        9.518523      247.650171      118    6.133061e+04
     M   52          13043.5        9.476045      295.182966       98    8.713298e+04
     M   53          13084.5        9.479184      215.240353       82    4.632841e+04
     M   54          12764.5        9.454423      324.340987       86    1.051971e+05
     M   55          13346.0        9.498972      373.179483       71    1.392629e+05
     M   56          12861.0        9.461955      393.993387       60    1.552308e+05
     M   57          12631.0        9.443909      299.673711       69    8.980433e+04
     M   58          13754.0        9.529085      421.689822       40    1.778223e+05
     M   59          14053.5        9.550627      352.163757       44    1.240193e+05
     M   60          13175.5        9.486114      570.771142       54    3.257797e+05
     M   62          13231.0        9.490318      456.440426       36    2.083379e+05
     M   63          14318.0        9.569273      552.633831       33    3.054042e+05
     M   65          14429.0        9.576995      634.520460       30    4.026162e+05

Белые ночи:
gender  age  age_median_time  age_median_log  age_median_std  n_total  age_median_var
     F   23          17620.0        9.776790      858.090364       41   736319.072136
     F   24          15877.0        9.672627      577.807174       57   333861.130050
     F   25          16623.0        9.718543      384.257313       72   147653.682607
     F   26          16547.0        9.713960      481.702909       93   232037.692060
     F   27          16373.0        9.703389      486.679895       95   236857.320201
     F   28          16715.5        9.724092      335.167145      110   112337.015270
     F   29          16831.0        9.730978      224.752748      114    50513.797682
     F   30          16772.5        9.727496      321.855432      118   103590.918838
     F   31          16581.5        9.716043      254.883526      134    64965.611652
     F   32          15811.5        9.668493      373.660980      114   139622.527883
     F   33          15559.0        9.652395      312.028295      106    97361.656759
     F   34          15927.0        9.675771      277.941879      102    77251.688285
     F   35          16270.0        9.697078      486.929920       67   237100.746709
     F   36          16331.0        9.700820      485.780832       66   235983.016828
     F   37          16401.0        9.705098      548.477438       53   300827.499472
     F   38          16364.0        9.702839      621.247752       51   385948.768945
